,result,top_win_rate,top_lane_kill_rate,top_kda,top_kill_participate,top_damage,jg_win_rate,jg_kda,jg_kill_participate,jg_damage,mid_win_rate,mid_lane_kill_rate,mid_kda,mid_kill_participate,mid_damage,adc_win_rate,adc_lane_kill_rate,adc_kda,adc_kill_participate,adc_damage,sup_win_rate,sup_lane_kill_rate,sup_kda,sup_kill_participate
345,0,0.4721,0.4693,0.5263157894736842,0.49306431273644385,0.45819841411488743,0.4618,0.4642126789366053,0.49798792756539234,0.47777280191073296,0.5,0.4664,0.49764150943396224,0.5025960539979232,0.4709621910998518,0.4964,0.41090000000000004,0.4725490196078432,0.4742376445846478,0.48798422639758754,0.5255,0.6224000000000001,0.5218253968253967,0.49017341040462425
346,1,0.5448,0.6187,0.5827814569536424,0.5123674911660777,0.47221664419518633,0.4962,0.5414937759336099,0.5281342546890425,0.5328114983636425,0.5406000000000001,0.6851,0.461038961038961,0.49945355191256835,0.5361058211951207,0.4932,0.47119999999999995,0.5072164948453608,0.5126849894291755,0.5201627912747847,0.501,0.4035,0.5258964143426296,0.5232690124858116
348,0,0.5053,0.42100000000000004,0.5363881401617251,0.5190839694656488,0.4936366098023287,0.5266,0.5143953934740884,0.4953271028037383,0.5256266222446054,0.47250000000000003,0.6202000000000001,0.5019157088122604,0.5150862068965517,0.5288969781589707,0.5301,0.5679,0.5841584158415841,0.5345005149330587,0.5132362155388471,0.4978,0.5846,0.5170731707317073,0.4937185929648241
349,0,0.5011,0.4318,0.5688487584650114,0.5248407643312102,0.47523658835119564,0.4746,0.5067698259187621,0.5092502434274586,0.42376612209802234,0.43820000000000003,0.6688,0.4701627486437613,0.48720472440944884,0.5478450363196126,0.5017,0.46619999999999995,0.47912524850894633,0.49021627188465505,0.4635940933013132,0.518,0.5836,0.6681887366818873,0.5174603174603174
350,1,0.512,0.5725,0.4740740740740741,0.48157894736842105,0.45975553505535055,0.48450000000000004,0.544464609800363,0.5267326732673268,0.5123406705577512,0.4969,0.5725,0.5151515151515151,0.4944275582573455,0.5289558868700234,0.5084000000000001,0.48969999999999997,0.5072765072765072,0.5110876451953538,0.5402531908809691,0.5113000000000001,0.5386,0.5665322580645161,0.5563218390804597
351,1,0.4975,0.4781,0.4744897959183674,0.49019607843137253,0.47860245096683174,0.4781,0.5091649694501018,0.5123395853899309,0.4915818126827301,0.499,0.7562000000000001,0.5060240963855421,0.5169491525423728,0.5918868078841907,0.5123,0.4829,0.4449064449064449,0.4732510288065844,0.47111724278889144,0.48700000000000004,0.6212,0.4530386740331492,0.498868778280543
352,1,0.5294,0.4278,0.5905882352941176,0.5263835263835265,0.4567446543546806,0.5889,0.5423387096774194,0.5055387713997985,0.5598382330066884,0.4854,0.433,0.47208121827411165,0.47961165048543686,0.4641962143428419,0.501,0.5575,0.5590717299578059,0.5368421052631579,0.5646251536255633,0.5272,0.39909999999999995,0.5303643724696357,0.5072463768115942
353,0,0.49340000000000006,0.5217,0.41309255079006774,0.47642679900744417,0.5401392961876833,0.5254,0.49323017408123787,0.49074975657254144,0.5762338779019777,0.506,0.6,0.5034602076124568,0.48234106962663975,0.5285838579251753,0.4916,0.4844,0.44785276073619623,0.482897384305835,0.5036391993761372,0.54,0.3803,0.5795454545454545,0.5522727272727272
355,1,0.5154,0.5672,0.6325581395348837,0.5434272300469484,0.46322331169727937,0.5499,0.5522388059701493,0.5172754195459033,0.5056836957240103,0.5202,0.2439,0.4932038834951456,0.4944834503510532,0.44199472571333537,0.47700000000000004,0.45130000000000003,0.4689507494646681,0.48785425101214575,0.48539811752734674,0.4675,0.6061,0.47714808043875684,0.49943117178612056
358,1,0.493,0.6041,0.4736842105263158,0.4880382775119617,0.5497988041921477,0.4954,0.48674242424242425,0.4855212355212355,0.5342390908428645,0.5304,0.5021,0.44488977955911824,0.5045500505561172,0.5099092378465747,0.49350000000000005,0.526,0.4915572232645404,0.5175257731958763,0.4798854373209958,0.5109,0.46159999999999995,0.4827586206896552,0.5544768069039914
